,"Kategori"
"ἐκπλέω,1602,false","ε-stamme"
"ἐκπληρόω,1603,false","ο-stamm"
"ἐκπλήσσω,1605,false","κ-stamme"
"ἐκπνέω,1606,false","ε-stamme"
"ἐκπορεύομαι,1607,false","ευ-stamme"
"ἐκπορνεύω,1608,false","ευ-stamme"
"ἐκπτύω,1609,false","υ-stamme"
"ἐκριζόω,1610,false","ο-stamm"
"ἐκστρέφω,1612,false","φ-stamme"
"ἐκταράσσω,1613,false","κ-stamme"
"ἐκτείνω,1614,false","ν-stamme"
"ἐκτελέω,1615,false","ε-stamme"
"ἐκτίθημι,1620,false","μι-verbum"
"ἐκτινάσσω,1621,false","κ-stamme"
"ἐκτρέπω,1624,false","π-stamme"
"ἐκτρέφω,1625,false","φ-stamme"
"ἐκφέρω,1627,false","ρ-stamme"
"ἐκφεύγω,1628,false","γ-stamme"
"ἐκφοβέω,1629,false","ε-stamme"
"ἐκφύω,1631,false","υ-stamme"
"ἐκχέω,1632,false","ε-stamme"
"ἐκχωρέω,1633,false","ε-stamme"
"ἐκψύχω,1634,false","χ-stamme"
"ἐλαττονέω,1641,false","ε-stamme"
"ἐλαττόω,1642,false","ο-stamm"
"ἐλαύνω,1643,false","ν-stamme"
"ἐλεάω,1653,true","α-stamme"
"ἐλέγχω,1651,false","χ-stamme"
"ἐλεέω,1653,false","ε-stamme"
"ἐλευθερόω,1659,false","ο-stamm"
"ἑλίσσω,1667,false","κ-stamme"
"ἑλκόω,1669,false","ο-stamm"
"ἕλκω,1670,false","κ-stamme"
"ἐλλογέω,1677,false","ε-stamme"
"ἐλπίζω,1679,false","ζ-stamme"
"ἐμβαίνω,1684,false","ν-stamme"
"ἐμβάλλω,1685,false","λ-stamme"
"ἐμβάπτω,1686,false","π-stamme"
"ἐμβατεύω,1687,false","ευ-stamme"
"ἐμβιβάζω,1688,false","ζ-stamme"
"ἐμβλέπω,1689,false","π-stamme"
"ἐμβριμάομαι,1690,false","α-stamme"
"ἐμέω,1692,false","ε-stamme"
"ἐμμαίνομαι,1693,false","ν-stamme"
"ἐμμένω,1696,false","ν-stamme"
"ἐμπαίζω,1702,false","ζ-stamme"
"ἐμπεριπατέω,1704,false","ε-stamme"
"ἐμπίπλημι,1705,false","μι-verbum"
"ἐμπίπρημι,1714,false","μι-verbum"
"ἐμπίπτω,1706,false","π-stamme"
"ἐμπλέκω,1707,false","κ-stamme"
"ἐμπνέω,1709,false","ε-stamme"
"ἐμπορεύομαι,1710,false","ευ-stamme"
"ἐμπτύω,1716,false","υ-stamme"
"ἐμφανίζω,1718,false","ζ-stamme"
"ἐμφυσάω,1720,false","α-stamme"
"ἐναγκαλίζομαι,1723,false","ζ-stamme"
"ἐνάρχομαι,1728,false","χ-stamme"
"ἐνδείκνυμι,1731,false","μι-verbum"
"ἐνδέχομαι,1735,false","χ-stamme"
"ἐνδημέω,1736,false","ε-stamme"
"ἐνδιδύσκω,1737,false","σκ-verbum"
"ἐνδοξάζομαι,1740,false","ζ-stamme"
"ἐνδυναμόω,1743,false","ο-stamm"
"ἐνδύνω,1744,false","ν-stamme"
"ἐνδύω,1746,false","υ-stamme"
