,"deklination ","stamme"
"βυθός,1037,false","2.","ο-stamme"
"βυρσεύς,1038,false","3.","ευ-stamme"
"βύσσος,1040,false","2.","ο-stamme"
"βωμός,1041,false","2.","ο-stamme"
"γάγγραινα,1044,false","1. (-ᾰ)","α-stamme"
"γάζα,1047,false","1. (-ᾰ)","α-stamme"
"Γάζα,1048,false","1. (-ᾰ)","α-stamme"
"γαζοφυλάκιον,1049,false","2.","ο-stamme"
"Γάϊος,1050,false","2.","ο-stamme"
"γάλα,1051,false","3.","κτ-stamme"
"Γαλάτης,1052,false","1. (-η)","α-stamme"
"Γαλατία,1053,false","1. (-ᾱ)","α-stamme"
"γαλήνη,1055,false","1. (-η)","α-stamme"
"Γαλιλαία,1056,false","1. (-ᾱ)","α-stamme"
"Γαλιλαῖος,1057,false","2.","ο-stamme"
"Γαλλίων,1058,false","3.","ν-stamme"
"γάμος,1062,false","2.","ο-stamme"
"γαστήρ,1064,false","3.","ρ-stamme"
"γέεννα,1067,false","1. (-ᾰ)","α-stamme"
"γείτων,1069,false","3.","ν-stamme"
"γέλως,1071,false","3.","τ-stamme"
"γενεά,1074,false","1. (-ᾱ)","α-stamme"
"γενεαλογία,1076,false","1. (-ᾱ)","α-stamme"
"γενέσια,1077,false","1. (-ᾱ)","α-stamme"
"γένεσις,1078,false","3.","ι-stamme"
"γενετή,1079,false","1. (-η)","α-stamme"
"γέννημα,1081,false","3.","τ-stamme"
"γένος,1085,false","3.","ς-stamme"
"Γερασηνός,1086,true","2.","ο-stamme"
"γερουσία,1087,false","1. (-ᾱ)","α-stamme"
"γέρων,1088,false","3.","ντ-stamme"
"γεώργιον,1091,false","2.","ο-stamme"
"γεωργός,1092,false","2.","ο-stamme"
"γῆ,1093,false","1. (-η)","α-stamme"
"γῆρας,1094,false","3.","ς-stamme"
"γλεῦκος,1098,false","3.","ς-stamme"
"γλῶσσα,1100,false","1. (-ᾰ)","α-stamme"
"γλωσσόκομον,1101,false","2.","ο-stamme"
"γναφεύς,1102,false","3.","ευ-stamme"
"γνόφος,1105,false","2.","ο-stamme"
"γνώμη,1106,false","1. (-η)","α-stamme"
"γνῶσις,1108,false","3.","ι-stamme"
"γνώστης,1109,false","1. (-η)","α-stamme"
"γογγυσμός,1112,false","2.","ο-stamme"
"γογγυστής,1113,false","1. (-η)","α-stamme"
"γόης,1114,false","3.","τ-stamme"
"Γολγοθᾶ,1115,false","uregelmæssig","uregelmæssig"
"Γόμορρα,1116,false","1. (-ᾱ)","α-stamme"
"γόμος,1117,false","2.","ο-stamme"
"γονεύς,1118,false","3.","ευ-stamme"
"γόνυ,1119,false","3.","τ-stamme"
"γράμμα,1121,false","3.","τ-stamme"
"γραμματεύς,1122,false","3.","ευ-stamme"
"γραφή,1124,false","1. (-η)","α-stamme"
"γυμνασία,1129,false","1. (-ᾱ)","α-stamme"
"γυμνότης,1132,false","3.","τ-stamme"
"γυναικάριον,1133,false","2.","ο-stamme"
"γυνή,1135,false","uregelmæssig","uregelmæssig "
"γωνία,1137,false","1. (-ᾱ)","α-stamme"
"δαιμόνιον,1140,false","2.","ο-stamme"
"δαίμων,1142,false","3.","ν-stamme"
"δάκρυον,1144,false","2.","ο-stamme"
"δακτύλιος,1146,false","2.","ο-stamme"
"δάκτυλος,1147,false","2.","ο-stamme"
"Δαλματία,1149,false","1. (-ᾱ)","α-stamme"
"δάμαλις,1151,false","3.","ι-stamme"
"Δάμαρις,1152,false","3.","ι-stamme"
"Δαμασκός,1154,false","2.","ο-stamme"
"δάνειον,1156,false","2.","ο-stamme"
"δανιστής,1157,false","1. (-η)","α-stamme"
"δαπάνη,1160,false","1. (-η)","α-stamme"
"δέησις,1162,false","3.","ι-stamme"
"δεῖγμα,1164,false","3.","τ-stamme"
"δειλία,1167,false","1. (-ᾱ)","α-stamme"
"δεῖπνον,1173,false","2.","ο-stamme"
"δεισιδαιμονία,1175,false","1. (-ᾱ)","α-stamme"
"Δεκάπολις,1179,false","3.","ι-stamme"
"δένδρον,1186,false","2.","ο-stamme"
"δεξιολάβος,1187,false","2.","ο-stamme"
"δέος,1169,true","3.","ς-stamme"
"Δέρβη,1191,false","1. (-η)","α-stamme"
"δέρμα,1192,false","3.","τ-stamme"
"δέσμη,1197,false","1. (-η)","α-stamme"
"δέσμιος,1198,false","2.","ο-stamme"
"δεσμός,1199,false","2.","ο-stamme"
"δεσμοφύλαξ,1200,false","3.","κ-stamme"
"δεσμωτήριον,1201,false","2.","ο-stamme"
"δεσμώτης,1202,false","1. (-η)","α-stamme"
"δεσπότης,1203,false","1. (-η)","α-stamme"
"Δημᾶς,1214,false","1. (-ᾱ)","α-stamme"
"Δημήτριος,1216,false","2.","ο-stamme"
"δημιουργός,1217,false","2.","ο-stamme"
"δῆμος,1218,false","2.","ο-stamme"
"δηνάριον,1220,false","2.","ο-stamme"
"διάγνωσις,1233,false","3.","ι-stamme"
"διάδημα,1238,false","3.","τ-stamme"
"διάδοχος,1240,false","2.","ο-stamme"
"διαθήκη,1242,false","1. (-η)","α-stamme"
"διαίρεσις,1243,false","3.","ι-stamme"
"διακονία,1248,false","1. (-ᾱ)","α-stamme"
"διάκονος,1249,false","2.","ο-stamme"
"διάκρισις,1253,false","3.","ι-stamme"
"διάλεκτος,1258,false","2.","ο-stamme"
"διαλογισμός,1261,false","2.","ο-stamme"
"διαμερισμός,1267,false","2.","ο-stamme"
"διανόημα,1270,false","3.","τ-stamme"
"διάνοια,1271,false","1. (-ᾱ)","α-stamme"
